epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,3.03477,0,4.94043,0,0,0,0,0,0,3.14043,0,0.0980192,1.9208e-05,1.9208e-05
4,3.82525,0,3.93597,0,0,0,0,0,0,2.52579,0,0.0970282,2.8218e-05,2.8218e-05
5,4.52829,0,3.15696,0,0,0,0,0,0,2.04734,0,0.0960368,3.6832e-05,3.6832e-05
6,5.35604,0,2.56002,0,0,0,0,0,0,1.6746,0,0.0950451,4.505e-05,4.505e-05
7,6.1216,0,2.08587,0,0,0,0,0,0,1.38098,0,0.0940529,5.2872e-05,5.2872e-05
8,6.87254,0,1.71531,0,0,0,0,0,0,1.14784,0,0.0930603,6.0298e-05,6.0298e-05
9,7.57479,0,1.41939,0,0,0,0,0,0,1.14784,0,0.0920673,6.7328e-05,6.7328e-05
10,8.30348,0,1.42406,0,0,0,0,0,0,0.95754,0,0.091074,7.3962e-05,7.3962e-05
11,8.97537,0,1.17618,0,0,0,0,0,0,0.95754,0,0.0900802,8.02e-05,8.02e-05
12,9.67763,0,1.17867,0,0,0,0,0,0,0.80256,0,0.089086,8.6042e-05,8.6042e-05
13,10.3531,0,0.98234,0,0,0,0,0,0,0.80256,0,0.0880915,9.1488e-05,9.1488e-05
14,11.0748,0,0.97762,0,0,0,0,0,0,0.67639,0,0.0870965,9.6538e-05,9.6538e-05
15,11.7228,0,0.81966,0,0,0,0,0,0,0.67639,0,0.0861012,0.000101192,0.000101192
16,12.4722,0,0.82773,0,0,0,0,0,0,0.57332,0,0.0851054,0.00010545,0.00010545
17,13.1533,0,0.69655,0,0,0,0,0,0,0.57332,0,0.0841093,0.000109312,0.000109312
18,13.8868,0,0.69671,0,0,0,0,0,0,0.48912,0,0.0831128,0.000112778,0.000112778
19,14.5779,0,0.58857,0,0,0,0,0,0,0.48912,0,0.0821158,0.000115848,0.000115848
20,15.3133,0,0.58553,0,0,0,0,0,0,0.42026,0,0.0811185,0.000118522,0.000118522
21,16.0501,0,0.49836,0,0,0,0,0,0,0.42026,0,0.0801208,0.0001208,0.0001208
22,16.7964,0,0.4989,0,0,0,0,0,0,0.36323,0,0.0791227,0.000122682,0.000122682
23,17.512,0,0.42679,0,0,0,0,0,0,0.36323,0,0.0781242,0.000124168,0.000124168
24,18.1739,0,0.42903,0,0,0,0,0,0,0.36323,0,0.0771253,0.000125258,0.000125258
25,18.9956,0,0.42966,0,0,0,0,0,0,0.31649,0,0.076126,0.000125952,0.000125952
26,19.6768,0,0.3711,0,0,0,0,0,0,0.31649,0,0.0751263,0.00012625,0.00012625
27,20.3854,0,0.37205,0,0,0,0,0,0,0.31649,0,0.0741262,0.000126152,0.000126152
28,21.1059,0,0.37198,0,0,0,0,0,0,0.27743,0,0.0731257,0.000125658,0.000125658
29,21.8038,0,0.32368,0,0,0,0,0,0,0.27743,0,0.0721248,0.000124768,0.000124768
30,22.5137,0,0.32591,0,0,0,0,0,0,0.27743,0,0.0711235,0.000123482,0.000123482
31,23.2408,0,0.32621,0,0,0,0,0,0,0.2445,0,0.0701218,0.0001218,0.0001218
32,23.9181,0,0.28244,0,0,0,0,0,0,0.2445,0,0.0691197,0.000119722,0.000119722
33,24.6377,0,0.28476,0,0,0,0,0,0,0.2445,0,0.0681172,0.000117248,0.000117248
34,25.3838,0,0.28631,0,0,0,0,0,0,0.21754,0,0.0671144,0.000114378,0.000114378
35,26.0627,0,0.25173,0,0,0,0,0,0,0.21754,0,0.0661111,0.000111112,0.000111112
36,26.7527,0,0.24988,0,0,0,0,0,0,0.21754,0,0.0651075,0.00010745,0.00010745
37,27.4777,0,0.25255,0,0,0,0,0,0,0.21754,0,0.0641034,0.000103392,0.000103392
38,28.2313,0,0.25362,0,0,0,0,0,0,0.19484,0,0.0630989,9.8938e-05,9.8938e-05
39,28.9322,0,0.22631,0,0,0,0,0,0,0.19484,0,0.0620941,9.4088e-05,9.4088e-05
40,29.6003,0,0.22431,0,0,0,0,0,0,0.19484,0,0.0610888,8.8842e-05,8.8842e-05
41,30.3794,0,0.22297,0,0,0,0,0,0,0.19484,0,0.0600832,8.32e-05,8.32e-05
42,31.1019,0,0.22634,0,0,0,0,0,0,0.17577,0,0.0590772,7.7162e-05,7.7162e-05
43,31.7971,0,0.2015,0,0,0,0,0,0,0.17577,0,0.0580707,7.0728e-05,7.0728e-05
44,32.5023,0,0.20334,0,0,0,0,0,0,0.17577,0,0.0570639,6.3898e-05,6.3898e-05
45,33.1778,0,0.2041,0,0,0,0,0,0,0.17577,0,0.0560567,5.6672e-05,5.6672e-05
46,33.91,0,0.20139,0,0,0,0,0,0,0.15964,0,0.0550491,4.905e-05,4.905e-05
47,34.5881,0,0.18402,0,0,0,0,0,0,0.15964,0,0.054041,4.1032e-05,4.1032e-05
48,35.2989,0,0.18514,0,0,0,0,0,0,0.15964,0,0.0530326,3.2618e-05,3.2618e-05
49,35.9954,0,0.18409,0,0,0,0,0,0,0.15964,0,0.0520238,2.3808e-05,2.3808e-05
50,36.7375,0,0.18452,0,0,0,0,0,0,0.14721,0,0.0510146,1.4602e-05,1.4602e-05
1,0.868678,0,7.9178,0,0,0,0,0,0,4.95023,0,0.1,0,0
2,1.61724,0,6.23723,0,0,0,0,0,0,3.92886,0,0.0990098,9.802e-06,9.802e-06
3,2.36742,0,4.94043,0,0,0,0,0,0,3.14043,0,0.0980192,1.9208e-05,1.9208e-05
4,3.0924,0,3.93597,0,0,0,0,0,0,2.52579,0,0.0970282,2.8218e-05,2.8218e-05
5,3.81566,0,3.15696,0,0,0,0,0,0,2.04734,0,0.0960368,3.6832e-05,3.6832e-05
6,4.54846,0,2.56002,0,0,0,0,0,0,1.6746,0,0.0950451,4.505e-05,4.505e-05
7,5.35232,0,2.08587,0,0,0,0,0,0,1.38098,0,0.0940529,5.2872e-05,5.2872e-05
8,6.08769,0,1.71531,0,0,0,0,0,0,1.14784,0,0.0930603,6.0298e-05,6.0298e-05
9,6.7918,0,1.41939,0,0,0,0,0,0,1.14784,0,0.0920673,6.7328e-05,6.7328e-05
10,7.50234,0,1.42406,0,0,0,0,0,0,0.95754,0,0.091074,7.3962e-05,7.3962e-05
11,8.16785,0,1.17618,0,0,0,0,0,0,0.95754,0,0.0900802,8.02e-05,8.02e-05
12,8.88245,0,1.17867,0,0,0,0,0,0,0.80256,0,0.089086,8.6042e-05,8.6042e-05
13,9.57334,0,0.98234,0,0,0,0,0,0,0.80256,0,0.0880915,9.1488e-05,9.1488e-05
14,10.2912,0,0.97762,0,0,0,0,0,0,0.67639,0,0.0870965,9.6538e-05,9.6538e-05
15,10.9731,0,0.81966,0,0,0,0,0,0,0.67639,0,0.0861012,0.000101192,0.000101192
16,11.7062,0,0.82773,0,0,0,0,0,0,0.57332,0,0.0851054,0.00010545,0.00010545
17,12.3803,0,0.69655,0,0,0,0,0,0,0.57332,0,0.0841093,0.000109312,0.000109312
18,13.1196,0,0.69671,0,0,0,0,0,0,0.48912,0,0.0831128,0.000112778,0.000112778
19,13.8279,0,0.58857,0,0,0,0,0,0,0.48912,0,0.0821158,0.000115848,0.000115848
20,14.5542,0,0.58553,0,0,0,0,0,0,0.42026,0,0.0811185,0.000118522,0.000118522
21,15.2157,0,0.49836,0,0,0,0,0,0,0.42026,0,0.0801208,0.0001208,0.0001208
22,15.9453,0,0.4989,0,0,0,0,0,0,0.36323,0,0.0791227,0.000122682,0.000122682
23,16.6012,0,0.42679,0,0,0,0,0,0,0.36323,0,0.0781242,0.000124168,0.000124168
24,17.304,0,0.42903,0,0,0,0,0,0,0.36323,0,0.0771253,0.000125258,0.000125258
25,18.0196,0,0.42966,0,0,0,0,0,0,0.31649,0,0.076126,0.000125952,0.000125952
26,18.7339,0,0.3711,0,0,0,0,0,0,0.31649,0,0.0751263,0.00012625,0.00012625
27,19.4399,0,0.37205,0,0,0,0,0,0,0.31649,0,0.0741262,0.000126152,0.000126152
28,20.2993,0,0.37198,0,0,0,0,0,0,0.27743,0,0.0731257,0.000125658,0.000125658
29,20.9888,0,0.32368,0,0,0,0,0,0,0.27743,0,0.0721248,0.000124768,0.000124768
